Product Name,Product Name,Rating,MRP,Pack Size,Quantity,,Quantity,Unit,Type,Discount,Category,Key Ingredients,Tokens,Key Ingredients,,,,,
Charcoal Body Wash With Charcoal & Mint for Deep Cleansing ,Charcoal Body Wash With Charcoal & Mint For Deep Cleansing ,Not Rated,499, 100g, 100,,100,gram,Weight,0%,Face Mask,Saffron ,ubtan face mask saffron turmeric skin brightening tan removal,Saffron,,,,,
Charcoal Body Wash With Charcoal & Mint for Deep Cleansing Pac,Charcoal Body Wash With Charcoal & Mint For Deep Cleansing Pac,5,249, 100ml, 100,l,100,ml,Volumn,0%,Face Wash,Turmeric  Walnut Beads  Licorice Extract  Carrot Oil ,ubtan face wash tan removal,Turmeric Walnut Beads Licorice Extract Carrot Oil,,,,,
Charcoal Face Scrub For Oily Skin & Normal skin with Charcoal & Walnut for Deep Exfoliation ,Charcoal Face Scrub For Oily Skin & Normal Skin With Charcoal & Walnut For Deep Exfoliation ,4.8,1199,NA,NA,,NA,NA,NA,25%,Hair Kit,Bhringraj Oil  Biotin ,anti hair fall kit complete hair care,Bhringraj Oil Biotin,,,,,
Charcoal Face Wash & Scrub Combo,Charcoal Face Wash & Scrub Combo,4.8,599, 200ml, 200,l,200,ml,Volumn,0%,Hair Oil,Argan Oil ,argan hair mask argan avocado oil milk protein frizz free strong hair,Argan Oil,,,,,
Charcoal Facewash for oil control,Charcoal Facewash For Oil Control,5,149, 25 g, 25 ,,25,gram,Weight,0%,Unknown ,Turmeric,ubtan bamboo sheet mask turmeric saffron skin brightening,Turmeric,,,,,
Charcoal Facewash for oil control Pack,Charcoal Facewash For Oil Control Pack,5,149, 25 g, 25 ,,25,gram,Weight,0%,Unknown ,Niacinamide,niacinamide bamboo sheet mask niacinamide ginger extract clear glowing skin,Niacinamide,,,,,
Charcoal Facial Regimen Kit,Charcoal Facial Regimen Kit,Not Rated,634,NA,NA,,NA,NA,NA,2%,Hair Shampoo,Red Onion ,onion shampoo onion hair serum combo,Red Onion,,,,,
Charcoal Secrets Combo: C3 Face Mask and Charcoal Facewash,Charcoal Secrets Combo: C3 Face Mask And Charcoal Facewash,Not Rated,924,NA,NA,,NA,NA,NA,3%,Unknown ,Onion Seed Oil,onion shampoo oil combo,Onion Seed Oil,,,,,
CoCo Bamboo Sheet Mask with Coffee & Cocoa for Skin Awakening ,Coco Bamboo Sheet Mask With Coffee & Cocoa For Skin Awakening ,5,679,Pack Of 2,2,,2,Packet,Count,3%,Hair Shampoo,Onion Seed Oil,onion shampoo hair growth hair fall control 250 ml pac,Onion Seed Oil,,,,,
CoCo Body Butter for Dry Skin with Coffee & Cocoa for Deep Moisturization,Coco Body Butter For Dry Skin With Coffee & Cocoa For Deep Moisturization,Not Rated,679, 30ml, 30,l,30,ml,Volumn,3%,Face Wash,Walnut Beads  Liquorice Extract  Carrot Seed Oil  Mulberry Extract  Daisy Flower  Geranium Oil  ,spotless skin combo ubtan facewash 100ml bye bye blemishes face cream,Walnut Beads Liquorice Extract Carrot Seed Oil Mulberry Extract Daisy Flower Geranium Oil,,,,,
CoCo Body Lotion With Coffee and Cocoa for Intense Moisturization ,Coco Body Lotion With Coffee And Cocoa For Intense Moisturization ,5,849,NA,NA,,NA,NA,NA,26%,Unknown ,Apple Cider Vinegar Niacinamide,anti acne kit,Apple Cider Vinegar Niacinamide,,,,,
CoCo Body Wash With Coffee & Cocoa For Skin Awakening ,Coco Body Wash With Coffee & Cocoa For Skin Awakening ,5,599,50ml,50,l,50,ml,Volumn,0%,Unknown ,Red Onion,onion scalp serum onion niacinamide healthy hair growth,Red Onion,,,,,
CoCo Body Wash With Coffee & Cocoa For Skin Awakening ,Coco Body Wash With Coffee & Cocoa For Skin Awakening ,5,399,400 ml,400 ,l,400,ml,Volumn,0%,Body Lotion,Vitamin C,vitamin c body lotion vitamin c honey radiant skin,Vitamin C,,,,,
CoCo Face Mask with Coffee & Cocoa for Skin Awakening ,Coco Face Mask With Coffee & Cocoa For Skin Awakening ,5,399,400 ml,400 ,l,400,ml,Volumn,0%,Body Lotion,Turmeric,ubtan body lotion turmeric kokum butter glowing skin,Turmeric,,,,,
CoCo Face Scrub with Coffee & Cocoa for Rich Exfoliation ,Coco Face Scrub With Coffee & Cocoa For Rich Exfoliation ,5,399, 150ml, 150,l,150,ml,Volumn,0%,Face Wash,Vitamin C,vitamin c foaming face wash vitamin c turmeric skin illumination,Vitamin C,,,,,
CoCo Face Wash with Coffee & Cocoa for Skin Awakening,Coco Face Wash With Coffee & Cocoa For Skin Awakening,Not Rated,249, 100ml, 100,l,100,ml,Volumn,0%,Face Wash,Vitamin C ,vitamin c face wash vitamin c turmeric skin illumination,Vitamin C,,,,,
CoCo Face Wash with Coffee & Cocoa for Skin Awakening Pack,Coco Face Wash With Coffee & Cocoa For Skin Awakening Pack,Not Rated,599, 50g, 50,,50,gram,Weight,0%,Unknown ,Vitamin C ,vitamin c face cream vitamin c spf 20 skin illumination,Vitamin C,,,,,
